Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Sway","Michael Bublé","Michael Bublé","Bestest","Playlist","USRE10201551","2ajUl8lBLAXOXNpG4NEPMz"
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons","Enemy (with JID) [from the series Arcane League of Legends]","Bestest","Playlist","USUM72119916","1r9xUipOqoNwggBpENDsvJ"
"Demons","Imagine Dragons","Night Visions","Bestest","Playlist","USUM71201071","5qaEfEh1AtSdrdrByCP7qR"
"Believer","Imagine Dragons","Evolve","Bestest","Playlist","USUM71700626","0pqnGHJpmpxLKifKRmU6WP"
"Don't Start Now","Dua Lipa","Don't Start Now","Bestest","Playlist","GBAHT1901121","6WrI0LAC5M1Rw2MnX2ZvEg"
"If You Were a Woman (And I Was a Man)","Bonnie Tyler","Secret Dreams and Forbidden Fire","Bestest","Playlist","GBBBN8602006","5NBPV2NQTepcZy1fD2KI43"
"Movin' Out (Anthony's Song)","Billy Joel","The Stranger","Bestest","Playlist","USSM17700369","4cG3ovmC8Hnp9ZsmSZI2O4"
"lovely (with Khalid)","Billie Eilish","lovely (with Khalid)","Bestest","Playlist","USUM71804190","0u2P5u6lvoDfwTYjAADbn4"
"Voulez-Vous","ABBA","Voulez-Vous","Bestest","Playlist","SEAYD7901020","17OqI90oTFZ3J8PVu6j07V"
"Lay All Your Love On Me","ABBA","ABBA Gold","Bestest","Playlist","SEAYD8001090","2245x0g1ft0HC7sf79zbYN"
"Beggin'","Måneskin","Chosen","Bestest","Playlist","ITB001700846","3Wrjm47oTz2sjIgck11l5e"
"The Final Countdown","Europe","The Final Countdown (Expanded Edition)","Bestest","Playlist","USSM18600196","3MrRksHupTVEQ7YbA0FsZK"
"Devil Doesn’t Bargain","Alec Benjamin","(Un)Commentary","Bestest","Playlist","USAT22200712","1zu2GKHPJIsUu80SUJX4H4"
"She Works Hard For The Money","Donna Summer","She Works Hard For The Money","Bestest","Playlist","USPR39402405","3FlOciKDqFlTMPeC7t92Qy"
"Atlantis","Seafret","Tell Me It's Real (Expanded Edition)","Bestest","Playlist","GBARL1500316","1Fid2jjqsHViMX6xNH70hE"
"you were there for me","Henry Moodie","in all of my lonely nights","Bestest","Playlist","UKW3Z2201508","2jBt7c8o1dDuyIIgepcNsz"
"Cake By The Ocean","DNCE","DNCE","Bestest","Playlist","USUM71514637","76hfruVvmfQbw0eYn1nmeC"
"Dance Monkey","Tones And I","The Kids Are Coming","Bestest","Playlist","QZES71982312","5ZULALImTm80tzUbYQYM9d"
"Safe And Sound","Capital Cities","In A Tidal Wave Of Mystery (Deluxe Edition)","Bestest","Playlist","USCA21203108","6Z8R6UsFuGXGtiIxiD8ISb"
"Whatever It Takes","Imagine Dragons","Evolve","Bestest","Playlist","USUM71703515","6Qn5zhYkTa37e91HC1D7lb"
"Natural","Imagine Dragons","Origins (Deluxe)","Bestest","Playlist","USUM71806694","2FY7b99s15jUprqC0M5NCT"
"There's Nothing Holdin' Me Back","Shawn Mendes","Illuminate (Deluxe)","Bestest","Playlist","USUM71702833","7JJmb5XwzOO8jgpou264Ml"
"Human","Rag'n'Bone Man","Human (Deluxe)","Bestest","Playlist","GBARL1600665","58zsLZPvfflaiIbNWoA22O"
"The Nights","Avicii","The Days / Nights","Bestest","Playlist","CH3131340464","0ct6r3EGTcMLPtrXHDvVjc"
"Without Me","Halsey","Without Me","Bestest","Playlist","USUM71813499","5p7ujcrUXASCNwRaWNHR1C"
"Wolves","Selena Gomez","Wolves","Bestest","Playlist","USUM71712103","0tBbt8CrmxbjRP0pueQkyU"
"What About Us","P!nk","Beautiful Trauma","Bestest","Playlist","USRC11701586","7tSyofAfG8GVFYcL565kXl"
"Bloody Mary","Lady Gaga","Antierou","Bestest","Playlist","USUM71106449","5XDtmUJf2XIjDQL3jh2mrV"
"NO","Meghan Trainor","Thank You (Deluxe Version)","Bestest","Playlist","USSM11600935","0l0CvurVUrr2w3Jj1hOVFc"
"Someone To You","BANNERS","Empires On Fire","Bestest","Playlist","USUM71705215","14BH4qO7pgCmIe6mgLKOK3"
"Counting Stars","OneRepublic","Native","Bestest","Playlist","USUM71301306","2tpWsVSb9UEmDRxAl1zhX1"
